shortme	for2591_id	species	sex	strain	animal_id	treatment	subproject	groups	mod	repeats	bwc	rgs	tint_mouse	nesting_rat	burrowing_rat	openfield_rat	cort_plasma	cort_fec	cort_fur_hair	food	social_interaction	Sacc_pref	OF_rearing_frequency	Of_immobile_duration	OF_center_time	BWB_WB	BWB_entries_in_BB	BWB_streching	BWB_LT	EPM_stretching	EPM_head_dip	EPM_closed_arms_duration	EPM_open_arms_duration	EPM_open1_3	Adrel_glands	Creatincise	Oxytocin	BDNF	Irwin	Seizures_n	Seizures_duration	Act_d	Act_n	HR_d	HR_n	NN.I_d	NN.I_n	NNx_d	NNx_n	pNNx_d	pNNx_n	RMSSD_d	RMSSD_n	SDNN_d	SDNN_n	MPPF_hippocampus_L	MPPF_hippocampus_R	MPPF_mPFC	MPPF_septum	FDG_mPFC	FDG_septum	FDG_amygdala	FDG_striatum	FDG_hypothalamus	FDG_thalamus	FDG_parietal_cortex	FDG_hippocampus	Init.ADT	Init.SD	total.SD	Mean.SD
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 73	SE	tel	elec_tel_SE	elec	1		0.5		1	370			2.919		23.4																			2	0		0.0814	0.0524	352.6181	351.5312	171.0144	171.8072	77.2078431	52.0763889	4.80770745	3.16161042	3.304181	3.02678	7.752625	5.778744																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 75	SE	tel	elec_tel_SE	elec	1		1		2	749.6			0.273		26.5																			3	0		0.035	0.0361																												
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 76	sham	tel	elec_tel_sham	elec	1		0		2	1610.5			0.9051		17.2																			0	0		0.0443	0.1071	326.3425	364.5347	185.736	166.7331	44.2795276	87.0347222	3.03387716	5.31178785	3.059558	3.466749	6.535188	7.501385																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 77	SE	tel	elec_tel_SE	elec	1		0.75		2	60.3			2.3751		24.6																			1	0		0.0745	0.1237	365.5664	383.4236	165.3919	157.6516	67.6332046	43.2083333	4.02356448	2.51407187	3.017218	2.53045	6.875308	5.198275																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 79	SE	tel	elec_tel_SE	elec	1		0.5		2	613.1			4.9749		26.7																			3	0		0.034	0.0426	348.6496	350.2708	173.2924	174.0435	95.0078431	57.0694444	5.80048549	3.60450938	3.944211	3.177902	8.195983	6.143132																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 81	SE	tel	elec_tel_SE	elec	1		0.5		1	6.9			1.0017		30.6																			3	0		0.0404	0.0492	364.4688	344.6493	165.79	175.5709	122.023166	134.7743056	6.23531004	8.32295625	3.394004	3.670449	8.192733	8.264115																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 83	sham	tel	elec_tel_sham	elec	1		0		3	1327.8			1.134		15.6																			0	0		0.0316	0.0592																												
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 85	sham	tel	elec_tel_sham	elec	1		0		3	1931.6			2.0055		18.6																			0	0		0.0348	0.0831	341.3672	399.375	177.9557	152.0788	122.6254826	166.7604167	7.46307954	9.18230556	3.589371	3.81669	7.387741	8.212476																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 86	SE	tel	elec_tel_SE	elec	1		0.5		2	0			5.2878		29.8																			2	0		0.0739	0.0935																												
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 87	sham	tel	elec_tel_sham	elec	1		0		2	1627.1			2.6985		15.2																			0	0		0.0315	0.0716	344.1	383.3646	176.3779	158.2951	145.4	122.9059233	9	6.91307979	4.166691	3.711901	10.135855	11.150798																
PostSE_electrical_telemetry	P11	rat	female	Sprague Dawley	IS 88	sham	tel	elec_tel_sham	elec	1		0		2	1919.2			1.1928		16.8																			0	0		0.0249	0.0499	353.543	392.559	171.3889	154.625	87.2200772	80.5069444	5.15351969	4.16337361	3.252607	3.02794	6.802771	7.070626																
